# Date Range: 20220101-20221231,,,,,,,,,,
# Segments: ,,,,,,,,,,
"# Metrics: ""analytics.totalVisitors, analytics.newVisits, analytics.visits, analytics.bounceRate, analytics.avgPageviews, analytics.avgSessionTime, analytics.transactionsPerVisit, analytics.transactions, analytics.transactionRevenue""",,,,,,,,,,
"# Dimensions: ""analytics.medium, analytics.country""",,,,,,,,,,
# Metric Filters: ,,,,,,,,,,
# Dimension Filters: ,,,,,,,,,,
Medium,Country,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Revenue
(none),United States,5701267,5670212,6419216,0.7518510049,1.861692456,73.76783131,0.004198643573,26952,7451725.801
(none),Lithuania,2697203,2694121,2727323,0.9826041873,1.095531406,7.696451795,0.0001715968369,468,115146.8731
(none),Switzerland,1761350,1758094,1795848,0.4939148525,1.204658746,12.40208637,0.0004515972399,811,230620.5337
referral,United States,1506376,1403192,2111496,0.5468568257,1.906543039,173.2850818,0.04742751111,100143,35760834.1
referral,United Kingdom,1300023,1211167,1828802,0.5891611011,1.776623166,158.1039735,0.0510738724,93404,28709784.83
referral,Germany,1005568,936970,1387442,0.5768781686,1.834857241,149.0277107,0.02627208921,36451,10223272.85
referral,France,999571,925651,1330816,0.5665486438,1.787072743,151.5887779,0.038096927,50700,14900677.38
(none),United Kingdom,675927,653389,1028747,0.5834398545,2.854611484,180.8931292,0.006037441664,6211,1438788.692
cpc,United States,624961,581413,869619,0.5296112435,2.758752971,189.5392925,0.05149496504,44781,10380397.13
referral,Russia,617421,588044,864914,0.6000030061,1.796527747,151.3914574,0.02647083988,22895,5871735.168
referral,Spain,569128,518258,821837,0.5717946503,1.930225823,171.6276695,0.04712004935,38725,10366647.76
(none),Germany,495243,475855,763647,0.5215839256,3.524683525,217.764471,0.006775381819,5174,1136219.241
referral,Brazil,443680,410914,599668,0.4750628681,1.788693077,142.9480579,0.02118505573,12704,3333597.254
(none),Czechia,439332,415269,783896,0.3196125506,5.26212023,326.3962222,0.008905518079,6981,1726213.892
referral,Italy,436397,396654,622068,0.5960136191,1.805092048,154.5039738,0.04740317779,29488,6226816.174
(none),(not set),405684,393505,420497,0.09095903181,3.514500698,57.91779014,0.6917219386,290867,82597775.26
(none),France,397359,383166,598216,0.5470465517,3.155537465,197.1133637,0.007157949637,4282,1077060.85
referral,Mexico,376864,351557,506077,0.5834013401,1.812777502,155.6184968,0.03037482438,15372,5282057.212
(none),Ukraine,374553,345357,634643,0.4084973757,3.434239407,243.9071557,0.004774337699,3030,610179.6232
referral,Sweden,364748,337273,564374,0.5672993441,1.861623675,179.1036742,0.04272167038,24111,6729098.64
(none),Spain,331179,312074,542473,0.495849563,3.532749095,232.135039,0.007747851045,4203,941890.0411
referral,Denmark,291695,271383,415375,0.5395317484,1.813619019,182.9290617,0.05295937406,21998,7040305.227
(none),Finland,286996,285109,310346,0.8886404207,1.483892172,45.19197283,0.001546660824,480,133741.2794
referral,Poland,282053,261474,397896,0.592476426,1.97210829,155.9035049,0.03153587872,12548,2694620.568
organic,United States,254092,168683,471336,0.257234754,4.977084288,332.7610176,0.01489595533,7021,2448809.53
referral,Ukraine,248262,198749,449748,0.4864946592,2.386156247,210.814963,0.02783114099,12517,2493715.819
cpc,France,245107,208001,371918,0.3571970165,4.734156454,190.0013766,0.01434993735,5337,1268645.628
referral,India,231589,217452,310281,0.6277503295,1.740415946,154.9327094,0.01488006033,4617,1797969.082
referral,Canada,228231,212967,311400,0.5425337187,1.864942197,151.0180861,0.02620745022,8161,3545394.091
(none),Russia,227229,221891,332933,0.5928400008,2.336677349,179.9814227,0.01976073264,6579,1441372.824
